,Release Date,Title,Production Budget,Opening Weekend,Domestic Box Office,Worldwide Box Office
10,"Nov 10, 2023",The Marvels,274.8,46.110859,84.500223,199.70625
11,"May 5, 2023",Guardians of the Galaxy Vol 3,250.0,118.414021,358.995815,845.468744
12,"Feb 17, 2023",Ant-Man and the Wasp: Quant…,200.0,106.10965,214.506909,463.635303
13,"Nov 11, 2022",Black Panther: Wakanda Forever,250.0,181.339761,453.82906,853.985546
15,"Jul 8, 2022",Thor: Love and Thunder,250.0,144.165107,343.25683,760.928081
16,"May 6, 2022",Doctor Strange in the Multi…,200.0,187.420998,411.331607,952.224986
17,"Dec 17, 2021",Spider-Man: No Way Home,200.0,260.138569,814.11507,1907.836254
18,"Nov 5, 2021",Eternals,200.0,71.297219,164.870264,401.731759
19,"Sep 3, 2021",Shang-Chi and the Legend of…,150.0,75.388688,224.543292,432.224634
20,"Jul 9, 2021",Black Widow,200.0,80.366312,183.651655,379.751131
21,"Jul 2, 2019",Spider-Man: Far From Home,160.0,92.579212,390.532085,1132.107522
22,"Apr 26, 2019",Avengers: Endgame,400.0,357.115007,858.373,2788.912285
23,"Mar 8, 2019",Captain Marvel,175.0,153.433423,426.829839,1129.576094
24,"Jul 6, 2018",Ant-Man and the Wasp,130.0,75.812205,216.64874,623.14466
25,"Apr 27, 2018",Avengers: Infinity War,300.0,257.698183,678.815482,2048.359754
26,"Feb 16, 2018",Black Panther,200.0,202.003951,700.059566,1336.49432
27,"Nov 3, 2017",Thor: Ragnarok,180.0,122.744989,315.058289,850.482778
28,"Jul 7, 2017",Spider-Man: Homecoming,175.0,117.027503,334.20114,878.271291
29,"May 5, 2017",Guardians of the Galaxy Vol 2,200.0,146.510104,389.813101,869.087963
30,"Nov 4, 2016",Doctor Strange,165.0,85.058311,232.64192,676.343174
31,"May 6, 2016",Captain America: Civil War,250.0,179.139142,408.084349,1151.899586
32,"Jul 17, 2015",Ant-Man,130.0,57.225526,180.202163,518.858449
33,"May 1, 2015",Avengers: Age of Ultron,365.0,191.271109,459.005868,1395.316979
34,"Aug 1, 2014",Guardians of the Galaxy,170.0,94.320883,333.714112,770.882395
35,"Apr 4, 2014",Captain America: The Winter…,170.0,95.023721,259.746958,714.401889
36,"Nov 8, 2013",Thor: The Dark World,150.0,85.737841,206.36214,644.602516
37,"May 3, 2013",Iron Man 3,200.0,174.144585,408.992272,1215.392272
38,"May 4, 2012",The Avengers,225.0,207.438708,623.35791,1515.100211
39,"Jul 22, 2011",Captain America: The First …,140.0,65.058524,176.654505,370.569776
40,"May 6, 2011",Thor,150.0,65.723338,181.030624,449.326618
41,"May 7, 2010",Iron Man 2,170.0,128.12248,312.433331,621.156389
42,"Jun 13, 2008",The Incredible Hulk,137.5,55.41405,134.806913,265.573859
43,"May 2, 2008",Iron Man,186.0,102.118668,318.604126,585.171547
